OrderID,OrderDate,CustomerID,CustomerName,Region,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMode
ORD0000001,2024-05-09 23:54:17,CUST0618,Tara Joshi,West,Clothing,Hoodie,2,1572.58,3145.16,UPI
ORD0000002,2024-12-01 14:16:14,CUST0133,Tara Joshi,East,Accessories,Wrist Watch,1,2543.17,2543.17,UPI
ORD0000003,2024-03-06 19:09:55,CUST0096,Siddharth Khan,East,Clothing,Casual Shirt,1,683.52,683.52,Cash
ORD0000004,2024-06-23 17:42:16,CUST0197,Vivaan Iyer,North,Clothing,Plain T-Shirt,2,468.43,936.86,Credit Card
ORD0000005,2024-10-03 19:10:13,CUST0039,Neha Kapoor,East,Accessories,Scarf,1,443.77,443.77,UPI
ORD0000006,2024-12-20 22:44:45,CUST0170,Parth Rao,East,Clothing,Casual Shirt,1,841.27,841.27,UPI
ORD0000007,2024-05-25 16:20:41,CUST0240,Rhea Chopra,South,Clothing,Summer Dress,1,1344.31,1344.31,Credit Card
ORD0000008,2024-10-19 16:02:29,CUST0473,Aditya Malhotra,East,Shoes,Boots,2,3988.44,7976.88,Wallet
ORD0000009,2024-03-11 09:06:08,CUST0054,Kriti Chopra,East,Accessories,Scarf,1,564.01,564.01,Credit Card
ORD0000010,2024-03-04 10:22:43,CUST0086,Kavya Singh,East,Clothing,Hoodie,1,1340.41,1340.41,Cash
ORD0000011,2024-04-23 16:25:30,CUST0358,Aditya Mehta,West,Clothing,Summer Dress,1,1199.72,1199.72,Cash
ORD0000012,2024-07-10 08:10:30,CUST0029,Priya Mehta,North,Clothing,Skirt,2,730.45,1460.9,UPI
ORD0000013,2024-05-26 17:12:05,CUST0713,Ananya Kapoor,West,Shoes,Boots,1,3445.05,3445.05,UPI
ORD0000014,2024-05-11 07:51:06,CUST0154,Kriti Bhardwaj,South,Shoes,Boots,1,3090.86,3090.86,UPI
ORD0000015,2024-01-25 08:40:52,CUST0430,Nisha Rao,East,Shoes,Sneakers,2,1765.63,3531.26,Credit Card
ORD0000016,2024-01-09 23:00:31,CUST0528,Nisha Nair,South,Shoes,Sandals,1,879.92,879.92,UPI
ORD0000017,2024-08-01 06:49:11,CUST0681,Vivaan Malhotra,East,Clothing,Casual Shirt,1,695.37,695.37,Credit Card
ORD0000018,2024-09-16 20:10:33,CUST0021,Vivaan Saxena,South,Clothing,Skirt,1,675.28,675.28,Credit Card
ORD0000019,2024-07-01 02:27:35,CUST0354,Aditya Malhotra,North,Shoes,Sneakers,1,2161.82,2161.82,UPI
ORD0000020,2024-01-23 12:49:36,CUST0560,Kriti Das,South,Shoes,Boots,1,4003.72,4003.72,UPI
ORD0000021,2024-03-10 02:17:50,CUST0734,Parth Das,East,Clothing,Casual Shirt,2,727.47,1454.94,Wallet
ORD0000022,2024-06-10 11:17:22,CUST0528,Nisha Nair,South,Shoes,Boots,1,3240.05,3240.05,UPI
ORD0000023,2024-07-01 01:44:25,CUST0672,Kavya Agarwal,South,Clothing,Casual Shirt,1,783.89,783.89,UPI
ORD0000024,2024-07-16 12:20:38,CUST0192,Vivaan Shetty,South,Clothing,Hoodie,1,1394.09,1394.09,UPI
ORD0000025,2024-08-08 21:56:04,CUST0185,Maya Singh,South,Clothing,Plain T-Shirt,1,473.24,473.24,UPI
ORD0000026,2024-08-06 06:04:02,CUST0707,Vivaan Rao,South,Clothing,Skirt,1,776.6,776.6,Cash
ORD0000027,2024-05-20 23:16:56,CUST0059,Kavya Gupta,North,Shoes,Sandals,1,902.53,902.53,UPI
ORD0000028,2024-01-16 05:11:54,CUST0623,Maya Mehta,East,Clothing,Denim Jeans,1,1130.35,1130.35,UPI
ORD0000029,2024-07-15 20:39:09,CUST0034,Neha Das,East,Shoes,Sandals,1,864.48,864.48,Credit Card
ORD0000030,2024-09-28 13:21:36,CUST0408,Nisha Khan,North,Clothing,Plain T-Shirt,1,428.03,428.03,Credit Card
ORD0000031,2024-10-14 04:17:15,CUST0269,Siddharth Patel,East,Shoes,Formal Shoes,1,3215.8,3215.8,Wallet
ORD0000032,2024-09-08 07:17:17,CUST0126,Parth Sharma,North,Clothing,Denim Jeans,1,1454.37,1454.37,UPI
ORD0000033,2024-12-15 11:38:09,CUST0684,Vivaan Patel,South,Clothing,Hoodie,1,1404.73,1404.73,UPI
ORD0000034,2024-12-29 23:13:04,CUST0179,Maya Iyer,West,Clothing,Plain T-Shirt,2,571.62,1143.24,UPI
ORD0000035,2024-09-09 00:57:25,CUST0370,Siddharth Malhotra,South,Clothing,Hoodie,2,1332.51,2665.02,UPI
ORD0000036,2024-07-22 17:25:39,CUST0539,Rhea Singh,South,Clothing,Hoodie,3,1307.32,3921.96,Credit Card
ORD0000037,2024-08-18 16:57:37,CUST0697,Ananya Rao,South,Clothing,Hoodie,1,1561.87,1561.87,Cash
ORD0000038,2024-08-09 18:18:31,CUST0057,Nisha Khan,West,Clothing,Casual Shirt,1,718.62,718.62,Credit Card
ORD0000039,2024-06-26 18:53:32,CUST0291,Parth Kapoor,West,Clothing,Skirt,1,794.7,794.7,Credit Card
ORD0000040,2024-11-10 19:25:24,CUST0096,Siddharth Khan,South,Clothing,Hoodie,1,1343.49,1343.49,Credit Card
ORD0000041,2024-11-05 12:17:32,CUST0578,Kavya Nair,North,Accessories,Leather Belt,1,603.68,603.68,Credit Card
ORD0000042,2024-11-29 07:40:31,CUST0786,Priya Kapoor,South,Shoes,Sneakers,1,1997.82,1997.82,UPI
ORD0000043,2024-06-03 17:35:00,CUST0251,Neha Khan,West,Shoes,Sandals,1,886.47,886.47,UPI
ORD0000044,2024-07-31 17:37:51,CUST0476,Rhea Agarwal,North,Shoes,Sandals,1,996.49,996.49,Cash
ORD0000045,2024-06-25 14:31:00,CUST0134,Aditya Rao,East,Clothing,Plain T-Shirt,1,471.92,471.92,UPI
ORD0000046,2024-05-06 05:07:45,CUST0100,Siddharth Sharma,North,Accessories,Scarf,3,486.74,1460.22,Wallet
ORD0000047,2024-06-16 21:01:58,CUST0739,Kriti Malhotra,North,Shoes,Boots,1,4019.62,4019.62,Wallet
ORD0000048,2024-09-11 00:50:37,CUST0093,Vivaan Kapoor,West,Clothing,Denim Jeans,1,1187.99,1187.99,UPI
ORD0000049,2024-09-10 21:45:17,CUST0670,Rhea Bose,East,Clothing,Plain T-Shirt,1,550.97,550.97,Wallet
ORD0000050,2024-07-06 14:40:55,CUST0375,Karan Mehta,North,Clothing,Hoodie,1,1361.69,1361.69,UPI
